time_s,direct_x_m,direct_y_m,direct_z_m,direct_vx_mps,direct_vy_mps,direct_vz_mps,iter_x_m,iter_y_m,iter_z_m,iter_vx_mps,iter_vy_mps,iter_vz_mps,analytic_x_m,analytic_y_m,analytic_z_m,analytic_vx_mps,analytic_vy_mps,analytic_vz_mps
2.000000000000000000e+03,1.978767437018547935e+04,-5.813069075627711754e+03,0.000000000000000000e+00,-2.119491449357011614e-01,-2.885897696011137104e+00,0.000000000000000000e+00,1.978767437018551936e+04,-5.813069075627711754e+03,0.000000000000000000e+00,-2.119491449357005508e-01,-2.885897696011137104e+00,0.000000000000000000e+00,1.978767437018547571e+04,-5.813069075627712664e+03,0.000000000000000000e+00,-2.119491449357012169e-01,-2.885897696011137548e+00,0.000000000000000000e+00
2.100000000000000000e+03,1.976595353518118281e+04,-6.101501731560297230e+03,0.000000000000000000e+00,-2.224656301178152829e-01,-2.882729859987477550e+00,0.000000000000000000e+00,1.976595353518123375e+04,-6.101501731560293592e+03,0.000000000000000000e+00,-2.224656301178145057e-01,-2.882729859987477994e+00,0.000000000000000000e+00,1.976595353518118645e+04,-6.101501731560296321e+03,0.000000000000000000e+00,-2.224656301178152829e-01,-2.882729859987477550e+00,0.000000000000000000e+00
2.200000000000000000e+03,1.974318163848560653e+04,-6.389609937942898796e+03,0.000000000000000000e+00,-2.329702856100016595e-01,-2.879408733766268380e+00,0.000000000000000000e+00,1.974318163848565746e+04,-6.389609937942897886e+03,0.000000000000000000e+00,-2.329702856100008268e-01,-2.879408733766269268e+00,0.000000000000000000e+00,1.974318163848561016e+04,-6.389609937942899705e+03,0.000000000000000000e+00,-2.329702856100016317e-01,-2.879408733766268824e+00,0.000000000000000000e+00
2.300000000000000000e+03,1.971935989100254665e+04,-6.677378374517988050e+03,0.000000000000000000e+00,-2.434625528234248826e-01,-2.875934493949591442e+00,0.000000000000000000e+00,1.971935989100259758e+04,-6.677378374517985321e+03,0.000000000000000000e+00,-2.434625528234239944e-01,-2.875934493949591886e+00,0.000000000000000000e+00,1.971935989100254301e+04,-6.677378374517987140e+03,0.000000000000000000e+00,-2.434625528234249103e-01,-2.875934493949591442e+00,0.000000000000000000e+00
2.400000000000000000e+03,1.969448955946198475e+04,-6.964791739095397133e+03,0.000000000000000000e+00,-2.539418738280005972e-01,-2.872307325281398871e+00,0.000000000000000000e+00,1.969448955946203932e+04,-6.964791739095396224e+03,0.000000000000000000e+00,-2.539418738279997090e-01,-2.872307325281399315e+00,0.000000000000000000e+00,1.969448955946198475e+04,-6.964791739095398043e+03,0.000000000000000000e+00,-2.539418738280006527e-01,-2.872307325281399315e+00,0.000000000000000000e+00
2.500000000000000000e+03,1.966857196635275977e+04,-7.251834748366059102e+03,0.000000000000000000e+00,-2.644076913820638808e-01,-2.868527420637689840e+00,0.000000000000000000e+00,1.966857196635281434e+04,-7.251834748366055464e+03,0.000000000000000000e+00,-2.644076913820628816e-01,-2.868527420637690284e+00,0.000000000000000000e+00,1.966857196635275977e+04,-7.251834748366058193e+03,0.000000000000000000e+00,-2.644076913820639363e-01,-2.868527420637689840e+00,0.000000000000000000e+00
2.600000000000000000e+03,1.964160848985220218e+04,-7.538492138714665089e+03,0.000000000000000000e+00,-2.748594489620005410e-01,-2.864594981016253428e+00,0.000000000000000000e+00,1.964160848985226403e+04,-7.538492138714664179e+03,0.000000000000000000e+00,-2.748594489619994308e-01,-2.864594981016253872e+00,0.000000000000000000e+00,1.964160848985220582e+04,-7.538492138714665998e+03,0.000000000000000000e+00,-2.748594489620005410e-01,-2.864594981016253872e+00,0.000000000000000000e+00
2.700000000000000000e+03,1.961360056375289423e+04,-7.824748667031350124e+03,0.000000000000000000e+00,-2.852965907918405541e-01,-2.860510215525982503e+00,0.000000000000000000e+00,1.961360056375295244e+04,-7.824748667031344667e+03,0.000000000000000000e+00,-2.852965907918392774e-01,-2.860510215525982503e+00,0.000000000000000000e+00,1.961360056375289423e+04,-7.824748667031348305e+03,0.000000000000000000e+00,-2.852965907918404986e-01,-2.860510215525982503e+00,0.000000000000000000e+00
2.800000000000000000e+03,1.958454967738636333e+04,-8.110589111522210260e+03,0.000000000000000000e+00,-2.957185618728115362e-01,-2.856273341375750174e+00,0.000000000000000000e+00,1.958454967738642517e+04,-8.110589111522206622e+03,0.000000000000000000e+00,-2.957185618728102039e-01,-2.856273341375750618e+00,0.000000000000000000e+00,1.958454967738636333e+04,-8.110589111522210260e+03,0.000000000000000000e+00,-2.957185618728115362e-01,-2.856273341375750618e+00,0.000000000000000000e+00
2.900000000000000000e+03,1.955445737554395600e+04,-8.395998272518769227e+03,0.000000000000000000e+00,-3.061248080128513571e-01,-2.851884583862865252e+00,0.000000000000000000e+00,1.955445737554402149e+04,-8.395998272518763770e+03,0.000000000000000000e+00,-3.061248080128500804e-01,-2.851884583862865696e+00,0.000000000000000000e+00,1.955445737554395600e+04,-8.395998272518769227e+03,0.000000000000000000e+00,-3.061248080128514681e-01,-2.851884583862865252e+00,0.000000000000000000e+00
